Host	Time
h2	17.6509740353
h8	18.2281320095
h14	18.3013279438
h11	18.427273035
h13	21.4218599796
h10	22.7834300995
h12	22.864948988
h5	23.3183329105
h9	23.3848838806
h7	23.4490728378
h6	23.5041880608
h4	23.5165929794
h3	23.5521600246
